genera	gene_id
Haemophilus	TYMS
Akkermansia	PRKACA
Eubacterium	CDC42BPG
Aeromonas	EEF1A1
Olsenella	ABCC1
Paraprevotella	CPS1
Actinomyces	GLUD1
Lactobacillus	ABCB1
Oxalobacter	SUCLG1
Escherichia	BMX
Weissella	TNIK
Phascolarctobacterium	CAMK2G
Streptococcus	CAMK2G
Bifidobacterium	PHYKPL
Coprococcus	ATP4A
Anaerostipes	IARS2
Peptoniphilus	TNK2
Granulicatella	SLK
Anaerotruncus	GPD1
Fusobacterium	THNSL1
Mitsuokella	MAP2K2
Megasphaera	DAPK3
Dorea	RAF1
Enterococcus	MAP4K3
Coprobacillus	MAP3K15
Acidaminococcus	PRKG2
Bilophila	AOX1
Ruminococcus	MYO3A
Bacteroides	KCNG4
Anaerococcus	PKN2
Clostridium	HIPK2
Succinatimonas	GCAT
Weissella	BLK
Enterococcus	GLS
Victivallis	GART
Parabacteroides	NSDHL
Clostridium	FTCD
Sutterella	EPRS
Atopobium	DAPK2
Eggerthella	NEK3
Bacteroides	ABCA1
Anaerostipes	RPS6KA6
Alistipes	IMPDH1
Escherichia	TXK
Collinsella	AKR1B10
Anaerococcus	ADH1C
Odoribacter	SLC5A6
Anaerotruncus	HSP90B1
Anaerofustis	FAAH
Dorea	PYCR2
Pseudoflavonifractor	TYRO3
Pseudoflavonifractor	MAP3K19
Phascolarctobacterium	ACADSB
Streptococcus	ACADSB
Faecalibacterium	AURKA
Faecalibacterium	MAP4K1
Coprococcus	TLK1
Lactobacillus	TBK1
Clostridium	FLT3
Butyrivibrio	ROCK1
Eggerthella	DAPK3
Anaerotruncus	NEK11
Slackia	MAPK9
Megasphaera	ABCB1
Victivallis	HSD17B8
Roseburia	ACSL3
Anaerococcus	FYN
Parabacteroides	IRAK4
Collinsella	LDHC
Treponema	AURKA
Enterobacter	CARS2
Acidaminococcus	OTC
Fusobacterium	PDHB
Oribacterium	JAK2
Fusobacterium	ADSSL1
Prevotella	ATP1A1
Granulicatella	ERBB4
Eubacterium	MTHFD2
Mitsuokella	ALDH18A1
Peptoniphilus	MCCC2
Actinomyces	NDUFV2
Actinomyces	HSD11B2
Holdemania	MAST1
Enterobacter	ALDH1A3
Enterococcus	ABCA1
Proteus	AADAT
Gemella	ULK3
Eubacterium	FARSA
Subdoligranulum	PIM1
Escherichia	SLC5A1
Actinomyces	ABCB1
Roseburia	AGXT
Veillonella	MAT2A
Oribacterium	ABCC2
Bilophila	AKR1C4
Aggregatibacter	RRM1
Victivallis	ABCC2
Holdemania	NARS2
Peptoniphilus	CAMKK2
Prevotella	KCNA5
Roseburia	AOX1
Roseburia	CPS1
Lactobacillus	PKMYT1
Lactobacillus	NEK11
Leuconostoc	GPT2
Fusobacterium	IARS2
Akkermansia	ACSL4
Anaerotruncus	MAP3K10
Pseudoflavonifractor	ATP1A3
Collinsella	HSD17B2
Blautia	PYGL
Blautia	DPYD
Anaerotruncus	PCCB
Solobacterium	GMPS
Oxalobacter	GLS2
Collinsella	PNP
Blautia	PKM
Akkermansia	FER
Megasphaera	TBK1
Oxalobacter	TPI1
Dorea	PKN1
Butyrivibrio	MYLK
Pyramidobacter	ABCC9
Akkermansia	JAK3
Escherichia	PAICS
Aeromonas	CTH
Roseburia	EPHB4
Actinomyces	GPD1
Aggregatibacter	SLC6A5
Porphyromonas	IARS
Faecalibacterium	TEC
Butyrivibrio	PRKCI
Dialister	SLC6A8
Citrobacter	ACAA2
Peptostreptococcus	ERN1
Prevotella	STK24
Bifidobacterium	CAMK1
Enterobacter	CDKL1
Peptostreptococcus	PCCA
Anaerostipes	FPGS
Lactobacillus	PCCB
Megasphaera	HSP90B1
Peptoniphilus	CDK17
Helicobacter	ALDH1A3
Anaerococcus	CDK16
Enterobacter	CFTR
Granulicatella	MATK
Leuconostoc	PAK4
Pseudoflavonifractor	FASN
Peptoniphilus	NEK2
Ruminococcus	TYMP
Treponema	TEC
Actinomyces	MAP2K1
Granulicatella	EPHB3
Acidaminococcus	ACSL1
Eggerthella	SLC1A2
Clostridium	ULK3
Solobacterium	LCK
Salmonella	CDC42BPG
Lactococcus	CS
Capnocytophaga	SRR
Prevotella	JAK1
Comamonas	ABCA1
Anaerofustis	ITK
Coprococcus	SARS
Megasphaera	PKMYT1
Megasphaera	NEK11
Pyramidobacter	GLDC
Eggerthella	TBK1
Holdemania	MAP4K5
Holdemania	DHODH
Solobacterium	PRKAA2
Veillonella	FARSB
